SDG Region,Days closed,Total,Percentage Closed
Oceania,76,84,90.47619047619048
Northern America and Europe,48,82,58.536585365853654
Oceania,82,82,100.0
Asia (Eastern and South-eastern),24,80,30.0
Africa (Sub-Saharan),47,74,63.51351351351351
Northern America and Europe,56,70,80.0
Northern America and Europe,44,69,63.76811594202898
Northern America and Europe,41,45,91.11111111111111
Northern America and Europe,0,43,0.0
Oceania,42,42,100.0
Oceania,0,30,0.0
Asia (Central and Southern),0,30,0.0
Oceania,29,29,100.0
Oceania,25,25,100.0
Northern America and Europe,18,25,72.0
Oceania,21,21,100.0
Oceania,5,12,41.66666666666667
Oceania,10,10,100.0
